DATE,CPILFENS
2010-04-01,221.166
2010-05-01,221.193
2010-06-01,221.265
2010-07-01,221.258
2010-08-01,221.551
2010-09-01,221.907
2010-10-01,222.079
2010-11-01,222.077
2010-12-01,221.795
2011-01-01,222.177
2011-02-01,223.011
2011-03-01,223.690
2011-04-01,224.118
2011-05-01,224.534
2011-06-01,224.891
2011-07-01,225.164
2011-08-01,225.874
2011-09-01,226.289
2011-10-01,226.743
2011-11-01,226.859
2011-12-01,226.740
2012-01-01,227.237
2012-02-01,227.865
2012-03-01,228.735
2012-04-01,229.303
2012-05-01,229.602
2012-06-01,229.879
2012-07-01,229.893
2012-08-01,230.196
2012-09-01,230.780
2012-10-01,231.276
2012-11-01,231.263
2012-12-01,231.033
2013-01-01,231.612
2013-02-01,232.432
2013-03-01,233.052
2013-04-01,233.236
2013-05-01,233.462
2013-06-01,233.640
2013-07-01,233.792
2013-08-01,234.258
2013-09-01,234.782
2013-10-01,235.162
2013-11-01,235.243
2013-12-01,235.000
2014-01-01,235.367
2014-02-01,236.075
2014-03-01,236.913
2014-04-01,237.509
2014-05-01,238.029
2014-06-01,238.157
2014-07-01,238.138
2014-08-01,238.296
2014-09-01,238.841
2014-10-01,239.413
2014-11-01,239.248
2014-12-01,238.775
2015-01-01,239.248
2015-02-01,240.083
2015-03-01,241.067
2015-04-01,241.802
2015-05-01,242.119
2015-06-01,242.354
2015-07-01,242.436
2015-08-01,242.651
2015-09-01,243.359
2015-10-01,243.985
2015-11-01,244.075
2015-12-01,243.779
2016-01-01,244.528
2016-02-01,245.680
2016-03-01,246.358
2016-04-01,246.992
2016-05-01,247.544
2016-06-01,247.794
2016-07-01,247.744
2016-08-01,248.278
2016-09-01,248.731
2016-10-01,249.218
2016-11-01,249.227
2016-12-01,249.134
2017-01-01,250.083
2017-02-01,251.143
2017-03-01,251.290
2017-04-01,251.642
2017-05-01,251.835
2017-06-01,252.014
2017-07-01,251.936
2017-08-01,252.460
2017-09-01,252.941
2017-10-01,253.638
2017-11-01,253.492
2017-12-01,253.558
2018-01-01,254.638
2018-02-01,255.783
2018-03-01,256.610
2018-04-01,257.025
2018-05-01,257.469
2018-06-01,257.697
2018-07-01,257.867
2018-08-01,258.012
2018-09-01,258.429
2018-10-01,259.063
2018-11-01,259.105
2018-12-01,259.083
2019-01-01,260.122
2019-02-01,261.114
2019-03-01,261.836
